fiscal_year,system_code,system_name,domain,expense_category,expense_item,budget_type,annual_total,remarks
FY2025,SYS001,認証システム,セキュリティ,ハードウェア,サーバー更新,plan,36000,認証基盤リプレース
FY2025,SYS001,認証システム,セキュリティ,ハードウェア,サーバー更新,forecast,38000,増額見通し
FY2025,SYS001,認証システム,セキュリティ,ハードウェア,サーバー更新,actual,37500,確定値
FY2025,SYS001,認証システム,セキュリティ,ソフトウェア,ライセンス更新,plan,14400,年次更新
FY2025,SYS001,認証システム,セキュリティ,ソフトウェア,ライセンス更新,forecast,14400,変更なし
FY2025,SYS001,認証システム,セキュリティ,ソフトウェア,ライセンス更新,actual,14200,微減
FY2025,SYS001,認証システム,セキュリティ,クラウド,AWS利用料,plan,12000,月額1000千円想定
FY2025,SYS001,認証システム,セキュリティ,クラウド,AWS利用料,forecast,13200,利用量増加
FY2025,SYS001,認証システム,セキュリティ,クラウド,AWS利用料,actual,12800,
FY2025,SYS002,請求システム,業務系,ハードウェア,NW機器,plan,24000,ルーター交換
FY2025,SYS002,請求システム,業務系,ハードウェア,NW機器,forecast,24000,
FY2025,SYS002,請求システム,業務系,ハードウェア,NW機器,actual,23500,値引き適用
FY2025,SYS002,請求システム,業務系,ソフトウェア,帳票エンジン,plan,8400,ライセンス3年
FY2025,SYS002,請求システム,業務系,ソフトウェア,帳票エンジン,forecast,8400,
FY2025,SYS002,請求システム,業務系,ソフトウェア,帳票エンジン,actual,8400,
FY2025,SYS002,請求システム,業務系,保守,年間保守契約,plan,36000,24時間対応
FY2025,SYS002,請求システム,業務系,保守,年間保守契約,forecast,38400,対応範囲拡大
FY2025,SYS002,請求システム,業務系,保守,年間保守契約,actual,37800,
FY2025,SYS003,DXプラットフォーム,DX推進,クラウド,Azure利用料,plan,28800,PaaS利用
FY2025,SYS003,DXプラットフォーム,DX推進,クラウド,Azure利用料,forecast,31200,PoCプロジェクト追加
FY2025,SYS003,DXプラットフォーム,DX推進,クラウド,Azure利用料,actual,30000,
FY2025,SYS003,DXプラットフォーム,DX推進,開発,外部委託開発費,plan,48000,新機能開発
FY2025,SYS003,DXプラットフォーム,DX推進,開発,外部委託開発費,forecast,54000,スコープ追加
FY2025,SYS003,DXプラットフォーム,DX推進,開発,外部委託開発費,actual,51000,進行中
FY2025,SYS004,コールセンター,顧客対応,ソフトウェア,CTI連携,plan,9600,クラウドCTI
FY2025,SYS004,コールセンター,顧客対応,ソフトウェア,CTI連携,forecast,9600,
FY2025,SYS004,コールセンター,顧客対応,ソフトウェア,CTI連携,actual,9800,超過
FY2025,SYS004,コールセンター,顧客対応,人件費,運用保守チーム,plan,60000,5名体制
FY2025,SYS004,コールセンター,顧客対応,人件費,運用保守チーム,forecast,63000,増員
FY2025,SYS004,コールセンター,顧客対応,人件費,運用保守チーム,actual,61500,
FY2025,SYS005,Webサイト,フロントエンド,クラウド,CDN・ホスティング,plan,7200,Cloudflare Enterprise
FY2025,SYS005,Webサイト,フロントエンド,クラウド,CDN・ホスティング,forecast,7200,
FY2025,SYS005,Webサイト,フロントエンド,クラウド,CDN・ホスティング,actual,7000,
FY2025,SYS005,Webサイト,フロントエンド,開発,フロントエンド刷新,plan,24000,React移行
FY2025,SYS005,Webサイト,フロントエンド,開発,フロントエンド刷新,forecast,27000,デザイン追加
FY2025,SYS005,Webサイト,フロントエンド,開発,フロントエンド刷新,actual,25500,
FY2025,SYS006,セキュリティ基盤,セキュリティ,ソフトウェア,WAF/IDS,plan,18000,NGFW導入
FY2025,SYS006,セキュリティ基盤,セキュリティ,ソフトウェア,WAF/IDS,forecast,18000,
FY2025,SYS006,セキュリティ基盤,セキュリティ,ソフトウェア,WAF/IDS,actual,18500,追加ルール
FY2025,SYS006,セキュリティ基盤,セキュリティ,保守,SOC運用,plan,42000,外部SOC委託
FY2025,SYS006,セキュリティ基盤,セキュリティ,保守,SOC運用,forecast,42000,
FY2025,SYS006,セキュリティ基盤,セキュリティ,保守,SOC運用,actual,43000,インシデント対応増
FY2025,SYS007,モバイルアプリ,フロントエンド,開発,アプリ開発費,plan,30000,iOS/Android
FY2025,SYS007,モバイルアプリ,フロントエンド,開発,アプリ開発費,forecast,33000,追加機能
FY2025,SYS007,モバイルアプリ,フロントエンド,開発,アプリ開発費,actual,32000,
FY2025,SYS007,モバイルアプリ,フロントエンド,クラウド,Firebase,plan,4800,BaaS利用
FY2025,SYS007,モバイルアプリ,フロントエンド,クラウド,Firebase,forecast,5400,ユーザー増
FY2025,SYS007,モバイルアプリ,フロントエンド,クラウド,Firebase,actual,5200,
