管理番号,経費事象,対象年月,予算金額,見込金額,投資運用区分,予算有り,5年経費合計,memo
NP-001,ワークフロー開発,202604,300000,320000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202605,400000,430000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202606,500000,520000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202607,700000,760000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202608,800000,850000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202609,900000,980000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202610,1100000,1180000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202611,900000,940000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202612,700000,720000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202701,600000,630000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202702,400000,410000,投資,有,12500000,導入スケジュール確認用
NP-001,ワークフロー開発,202703,300000,310000,投資,有,12500000,導入スケジュール確認用
NP-002,監視サービス利用料,202604,150000,140000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202605,150000,150000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202606,180000,200000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202607,200000,220000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202608,220000,240000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202609,250000,260000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202610,260000,280000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202611,260000,280000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202612,280000,310000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202701,300000,330000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202702,300000,340000,運用,有,8200000,利用量増加のダミー差異
NP-002,監視サービス利用料,202703,320000,350000,運用,有,8200000,利用量増加のダミー差異
NP-003,BIレポート構築,202604,250000,250000,投資,有,6400000,上期中心の案件
NP-003,BIレポート構築,202605,350000,340000,投資,有,6400000,上期中心の案件
NP-003,BIレポート構築,202606,450000,470000,投資,有,6400000,上期中心の案件
NP-003,BIレポート構築,202607,550000,560000,投資,有,6400000,上期中心の案件
NP-003,BIレポート構築,202608,450000,460000,投資,有,6400000,上期中心の案件
NP-003,BIレポート構築,202609,300000,310000,投資,有,6400000,上期中心の案件
