区分,償却展開区分,償却展開区分名,期間種別,期,月,金額
デモ投資,DEMO-DEP-CRM,デモCRM資産,月次,66,2025/04,700000
デモ投資,DEMO-DEP-CRM,デモCRM資産,月次,66,2025/05,700000
デモ投資,DEMO-DEP-CRM,デモCRM資産,半期,66,H1,4200000
デモ投資,DEMO-DEP-CRM,デモCRM資産,半期,66,H2,4200000
デモ投資,DEMO-DEP-CRM,デモCRM資産,通期,66,FY,8400000
デモ投資,DEMO-DEP-CRM,デモCRM資産,月次,67,2026/04,800000
デモ投資,DEMO-DEP-CRM,デモCRM資産,月次,67,2026/05,800000
デモ投資,DEMO-DEP-CRM,デモCRM資産,月次,67,2026/06,800000
デモ投資,DEMO-DEP-CRM,デモCRM資産,半期,67,H1,4800000
デモ投資,DEMO-DEP-CRM,デモCRM資産,半期,67,H2,4800000
デモ投資,DEMO-DEP-CRM,デモCRM資産,通期,67,FY,9600000
デモ基盤,DEMO-DEP-CLOUD,デモクラウド資産,月次,66,2025/04,500000
デモ基盤,DEMO-DEP-CLOUD,デモクラウド資産,半期,66,H1,3000000
デモ基盤,DEMO-DEP-CLOUD,デモクラウド資産,半期,66,H2,3000000
デモ基盤,DEMO-DEP-CLOUD,デモクラウド資産,通期,66,FY,6000000
デモ基盤,DEMO-DEP-CLOUD,デモクラウド資産,月次,67,2026/04,450000
デモ基盤,DEMO-DEP-CLOUD,デモクラウド資産,月次,67,2026/05,450000
デモ基盤,DEMO-DEP-CLOUD,デモクラウド資産,半期,67,H1,2700000
デモ基盤,DEMO-DEP-CLOUD,デモクラウド資産,半期,67,H2,2700000
デモ基盤,DEMO-DEP-CLOUD,デモクラウド資産,通期,67,FY,5400000
デモセキュリティ,DEMO-DEP-AUTH,デモ認証資産,月次,67,2026/04,300000
デモセキュリティ,DEMO-DEP-AUTH,デモ認証資産,半期,67,H1,1800000
デモセキュリティ,DEMO-DEP-AUTH,デモ認証資産,半期,67,H2,1800000
デモセキュリティ,DEMO-DEP-AUTH,デモ認証資産,通期,67,FY,3600000
